Plate_ID,Well,Breeder_ID,Larva_ID,BreederF,BreederM
Plate 1(FC20200305),A1,Z2622-F7,20200121-Plate1-4E,Z2622-F7,Z2622-M10
Plate 1(FC20200305),A1,Z2622-F7,20200121-Plate1-4F,Z2622-F7,Z2622-M10
Plate 1(FC20200305),A1,Z2622-F7,20200121-Plate1-4G,Z2622-F7,Z2622-M10
Plate 1(FC20200305),A1,Z2622-F7,20200121-Plate1-4H,Z2622-F7,Z2622-M10
Plate 1(FC20200305),A1,Z2622-F7,20200121-Plate1-5A,Z2622-F7,Z2622-M10
Plate 1(FC20200305),A1,Z2622-F7,20200121-Plate1-5B,Z2622-F7,Z2622-M10
Plate 1(FC20200305),A1,Z2622-F7,20200121-Plate1-5C,Z2622-F7,Z2622-M10
Plate 1(FC20200305),A1,Z2622-F7,20200204-Plate1-5E,Z2622-F7,Z2622-M12
Plate 1(FC20200305),A1,Z2622-F7,20200204-Plate1-5F,Z2622-F7,Z2622-M12
Plate 1(FC20200305),A1,Z2622-F7,20200204-Plate1-5G,Z2622-F7,Z2622-M12
Plate 1(FC20200305),A1,Z2622-F7,20200204-Plate1-5H,Z2622-F7,Z2622-M12
Plate 1(FC20200305),A1,Z2622-F7,20200204-Plate1-6A,Z2622-F7,Z2622-M12
